"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"OSHW-Logo_Copper";1;"OSHW-Logo_Copper";;;
2;"G***";"BALTHAZARlogo150";1;"LOGO";;;
3;"U2,U3";"WSON-14-1EP_4.0x4.0mm_P0.5mm_EP2.6x2.6mmThermalPads";2;"TPS63020";;;
4;"CPSU2,CPSU1,CBTST1,CBUS1,CBUS2,CBUS3,CBUS4,CBUS5,CBUS8,CREGN1,C16,C21";"C_1206_3216Metric";12;"1uF";;;
5;"CSYS3,CSYS4,CBAT1,CPMID1,CSYS1,CSYS2,C12,C22,C29,C26,C27,C31,C34";"C_1206_3216Metric";13;"10uF";;;
6;"R12,R14,R23,R24";"R_1206_3216Metric";4;"1M";;;
7;"R13,R15";"R_1206_3216Metric";2;"180K";;;
8;"RBTST1";"R_1206_3216Metric";1;"R";;;
9;"C8,C9,C3,C4,C10,C5,C7,C6";"C_1206_3216Metric";8;"22uF";;;
10;"C1,C2,CBUS7,C11,C17,C18,C19,C23,C28,C30,C32,C33,C13,C20,C24";"C_1206_3216Metric";15;"0.1uF";;;
11;"D1,D2,D4,D5";"LED_1206_3216Metric";4;"Led";;;
12;"R4,R5,R8,R9,R11,R21,R22";"R_1206_3216Metric";7;"2K2";;;
13;"R7";"R_1206_3216Metric";1;"265";;;
14;"R10";"R_1206_3216Metric";1;"6K8";;;
15;"THERMISTOR(103-AT)1,R18,R43,R44,R45,R46,R47,R48";"R_1206_3216Metric";8;"10K";;;
16;"IC1";"QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias";1;"BQ24193";;;
17;"U1";"SOP-16_4.4x10.4mm_P1.27mm";1;"PAM8403-SOP16";;;
18;"THERM1";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";1;"thermistor";;;
19;"J10,J11";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";2;"3.3V/5V";;;
20;"R25,R26";"R_1206_3216Metric";2;"270K";;;
21;"BATT1";"TerminalBlock_bornier-2_P5.08mm";1;"1s LiPo";;;
22;"J8";"TerminalBlock_bornier-2_P5.08mm";1;"5V 3A";;;
23;"J9";"TerminalBlock_bornier-2_P5.08mm";1;"3.3V 4A";;;
24;"CBUS3a1,CBUS3a2,CBUS3a3,CPMID1a1";"C_0805_2012Metric";4;"0.1uF";;;
25;"J2";"USB_C_Receptacle_GCT_USB4085";1;"USB_C_Receptacle_USB2.0";;;
26;"L1";"L_Bourns_SRP7028A_7.3x6.6mm";1;"2.2uH 4A";;;
27;"L2,L3";"L_Bourns_SRP7028A_7.3x6.6mm";2;"1.5uH 4A";;;
28;"J3";"TerminalBlock_bornier-2_P5.08mm";1;"5-15V / 3-5A";;;
29;"C14,C15";"C_1206_3216Metric";2;"20pF";;;
30;"R29,R30,R31,R32,R34,R36,R37";"R_1206_3216Metric";7;"100K";;;
31;"R35";"R_1206_3216Metric";1;"12K";;;
32;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
33;"U5";"QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm";1;"USB2514B_Bi";;;
34;"J13";"USB_Micro-B_Molex-Balthazar";1;"USB_B_Micro";;;
35;"R33";"R_0805_2012Metric";1;"1M";;;
36;"C25";"C_0805_2012Metric";1;"1nF";;;
37;"Q1";"Texas_DQK";1;"CSD25310Q2";;;
38;"Q2,Q3";"SOT-23";2;"BSS138";;;
39;"R19,R27";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"5K1";;;
40;"R20,R28";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"56K";;;
41;"R40";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"262K";;;
42;"R41";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100K";;;
43;"R42,R1,R2,R3,R6,R16,R17";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"10K";;;
44;"J12,J14,J15,J16,J17";"PinSocket_1x04_P2.00mm_Horizontal";5;"Conn_01x04_USB";;;
45;"J4";"PinSocket_1x04_P2.54mm_Vertical";1;"AudioOUT";;;
46;"J7";"PinSocket_1x05_P2.00mm_Vertical";1;"uC host / Atmel";;;
47;"J1";"PinSocket_1x04_P2.00mm_Vertical";1;"AudioIN";;;
48;"R38";"R_1206_3216Metric";1;"120K";;;
49;"R39";"R_1206_3216Metric";1;"49K9";;;
50;"Y1";"Crystal_SMD_5032-4Pin_5.0x3.2mm";1;"Crystal_GND24";;;
51;"L4";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"L_Core_Ferrite_Small";;;
52;"J5";"PinSocket_1x03_P2.00mm_Vertical";1;"uC host / Atmel";;;
53;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
54;"H1,H2,H3,H4";"MountingHole_2.2mm_M2_Pad";4;"MountingHole_Pad";;;
